Year,0
1789,2
1790,2
1791,3
1792,3
1793,3
1794,2
1795,2
1796,2
1797,1
1798,1
1799,1
1800,3
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,1
1829,2
1830,1
1831,2
1832,2
1833,2
1834,1
1835,2
1836,21
1837,38
1838,43
1839,55
1840,58
1841,58
1842,56
1843,61
1844,71
1845,80
1846,75
1847,74
1848,79
1849,82
1850,92
1851,103
1852,110
1853,120
1854,122
1855,138
1856,140
1857,150
1858,163
1859,175
1860,188
1861,198
1862,198
1863,200
1864,210
1865,233
1866,218
1867,199
1868,203
1869,200
1870,204
1871,206
1872,225
1873,237
1874,236
1875,242
1876,239
1877,247
1878,253
1879,262
1880,272
1881,274
1882,284
1883,296
1884,305
1885,319
1886,322
1887,316
1888,320
1889,335
1890,349
1891,359
1892,363
1893,375
1894,396
1895,406
1896,414
1897,418
1898,433
1899,448
1900,469
1901,478
1902,478
1903,491
1904,493
1905,507
1906,513
1907,512
1908,517
1909,526
1910,506
1911,487
1912,469
1913,449
1914,464
1915,449
1916,451
1917,443
1918,432
1919,408
1920,383
1921,335
1922,271
1923,1
1924,1
